Date/Time,Lat,Lon
4/5/2014 0:07,40.7684,-73.9213
4/5/2014 0:07,40.7463,-73.9948
4/5/2014 0:07,40.7267,-73.9481
4/5/2014 0:08,40.7229,-73.9991
4/5/2014 0:08,40.7744,-73.9016
4/5/2014 0:08,40.763,-73.9046
4/5/2014 0:08,40.7216,-73.9582
4/5/2014 0:08,40.7164,-74.0157
4/5/2014 0:08,40.7317,-73.9991
4/5/2014 0:08,40.7443,-74.0029
4/5/2014 0:08,40.9499,-73.7334
4/5/2014 0:08,40.734,-73.9987
4/5/2014 0:08,40.9592,-73.9501
4/5/2014 0:08,40.6788,-73.9866
4/5/2014 0:09,40.7206,-73.9969
4/5/2014 0:09,40.7196,-74.0429
4/5/2014 0:09,40.6632,-73.9889
4/5/2014 0:09,40.7416,-74.0049
4/5/2014 0:09,40.7444,-73.9985
4/5/2014 0:09,40.7289,-74.0004
4/5/2014 0:09,40.7146,-73.9661
4/5/2014 0:09,40.7977,-73.9315
4/5/2014 0:09,40.7218,-73.9921
4/5/2014 0:09,40.7464,-73.9815
4/5/2014 0:09,40.7313,-74.0102
4/5/2014 0:09,40.7046,-73.958
4/5/2014 0:09,40.7214,-73.9799
4/5/2014 0:09,40.7057,-73.9447
4/5/2014 0:09,40.7577,-73.9862
4/5/2014 0:09,40.7331,-74.003
4/5/2014 0:09,40.727,-73.984
4/5/2014 0:09,40.7576,-73.9849
4/5/2014 0:09,40.7054,-74.0077
4/5/2014 0:09,40.761,-73.9607
4/5/2014 0:09,40.7638,-73.9281
4/5/2014 0:10,40.7207,-73.9949
4/5/2014 0:10,40.7453,-73.9909
4/5/2014 0:10,40.7398,-73.995
4/5/2014 0:10,40.7068,-74.0092
4/5/2014 0:10,40.7212,-73.9975
4/5/2014 0:10,40.6768,-74.0133
4/5/2014 0:10,40.7304,-74.0044
4/5/2014 0:10,40.7645,-73.9874
4/5/2014 0:10,40.7064,-74.0093
4/5/2014 0:10,40.7213,-73.9948
4/5/2014 0:10,40.7359,-74.006
4/5/2014 0:10,40.7276,-73.9935
4/5/2014 0:10,40.7461,-74.0045
4/5/2014 0:10,40.7462,-73.978
4/5/2014 0:10,40.7066,-74.0138
4/5/2014 0:10,40.7143,-73.9517
4/5/2014 0:10,40.7202,-74.0019
4/5/2014 0:10,40.7167,-74.0085
4/5/2014 0:10,40.7348,-73.9996
4/5/2014 0:11,40.7358,-74.0007
4/5/2014 0:11,40.7067,-74.0094
4/5/2014 0:11,40.7296,-73.9873
4/5/2014 0:11,40.6684,-73.9534
4/5/2014 0:11,40.7444,-74.0064
4/5/2014 0:11,40.7498,-73.9951
4/5/2014 0:11,40.7697,-73.9563
4/5/2014 0:11,40.7215,-73.9976
4/5/2014 0:11,40.7343,-74.0081
4/5/2014 0:11,40.7017,-73.9148
4/5/2014 0:11,40.7235,-74.006
4/5/2014 0:11,40.7482,-73.9819
4/5/2014 0:12,40.6915,-73.9383
4/5/2014 0:12,40.733,-74.0022
4/5/2014 0:12,40.7191,-74.0036
4/5/2014 0:12,40.741,-74.0075
4/5/2014 0:12,40.7191,-74.0036
4/5/2014 0:12,40.758,-73.9722
4/5/2014 0:12,40.7292,-74.0036
4/5/2014 0:12,40.7304,-73.9948
4/5/2014 0:12,40.7382,-74.0096
4/5/2014 0:12,40.7833,-73.9478
4/5/2014 0:12,40.6753,-73.9678
4/5/2014 0:12,40.8161,-73.9578
4/5/2014 0:12,40.7216,-74.0012
4/5/2014 0:12,40.7225,-73.9861
4/5/2014 0:12,40.7376,-74.0034
4/5/2014 0:12,40.7223,-73.9575
4/5/2014 0:12,40.7326,-73.9877
4/5/2014 0:12,40.762,-73.9791
4/5/2014 0:12,40.7372,-73.9969
4/5/2014 0:12,40.7179,-73.9855
4/5/2014 0:13,40.7594,-73.9974
4/5/2014 0:13,40.7612,-73.9282
4/5/2014 0:13,40.7282,-74.0054
4/5/2014 0:13,40.7294,-73.9919
4/5/2014 0:13,40.7405,-74.0064
4/5/2014 0:13,40.7422,-74.0042
4/5/2014 0:13,40.7062,-74.0096
4/5/2014 0:13,40.7394,-74.0017
4/5/2014 0:13,40.7534,-73.9785
4/5/2014 0:13,40.7173,-74.009
4/5/2014 0:13,40.7283,-73.9998
4/5/2014 0:13,40.6485,-73.7839
4/5/2014 0:13,40.6483,-73.7825
4/5/2014 0:13,40.7228,-73.9833
4/5/2014 0:13,40.7425,-74.0029
4/5/2014 0:14,40.758,-73.9753
4/5/2014 0:14,40.7778,-73.9887
4/5/2014 0:14,40.7193,-73.9851
4/5/2014 0:14,40.7695,-73.9875
4/5/2014 0:14,40.7436,-73.9848
4/5/2014 0:14,40.7065,-74.0097
4/5/2014 0:14,40.7421,-74.0063
4/5/2014 0:14,40.7193,-74.004
4/5/2014 0:14,40.7243,-73.9521
4/5/2014 0:14,40.7198,-73.96
4/5/2014 0:14,40.7183,-73.9883
4/5/2014 0:14,40.7355,-74.0061
4/5/2014 0:14,40.7979,-73.9639
4/5/2014 0:14,40.7596,-73.9783
4/5/2014 0:14,40.7162,-74.0393
4/5/2014 0:15,40.7735,-73.9079
4/5/2014 0:15,40.6924,-73.9547
4/5/2014 0:15,40.645,-73.782
4/5/2014 0:15,40.6686,-73.9308
4/5/2014 0:15,40.7067,-74.0093
4/5/2014 0:15,40.7174,-74.0087
4/5/2014 0:15,40.7174,-74.0087
4/5/2014 0:15,40.7342,-74.0029
4/5/2014 0:15,40.6483,-73.7832
4/5/2014 0:15,40.7345,-74.0014
4/5/2014 0:15,40.8068,-73.9648
4/5/2014 0:15,40.7334,-73.9997
4/5/2014 0:15,40.7441,-74.0068
4/5/2014 0:15,40.7507,-74.0037
4/5/2014 0:15,40.7269,-73.9837
4/5/2014 0:15,40.7334,-73.9972
4/5/2014 0:16,40.7151,-73.9918
4/5/2014 0:16,40.7364,-73.9525
4/5/2014 0:16,40.7446,-74.1561
4/5/2014 0:16,40.7064,-74.0093
4/5/2014 0:16,40.6784,-73.9687
4/5/2014 0:16,40.7867,-73.9429
4/5/2014 0:16,40.7212,-73.9975
4/5/2014 0:16,40.6588,-73.8035
4/5/2014 0:16,40.728,-73.9991
4/5/2014 0:16,40.7146,-73.9495
4/5/2014 0:16,40.7285,-74.0051
4/5/2014 0:17,40.7464,-73.978
4/5/2014 0:17,40.7282,-73.991
4/5/2014 0:17,40.7615,-73.9244
4/5/2014 0:17,40.7337,-74.0024
4/5/2014 0:17,40.7195,-73.9962
4/5/2014 0:17,40.7298,-73.9898
4/5/2014 0:17,40.715,-74.0121
4/5/2014 0:17,40.7326,-73.9972
4/5/2014 0:17,40.7532,-73.9781
4/5/2014 0:17,40.7825,-73.9787
4/5/2014 0:17,40.7155,-73.9664
4/5/2014 0:18,40.6955,-73.9976
4/5/2014 0:18,40.728,-73.9931
4/5/2014 0:18,40.6485,-73.7827
4/5/2014 0:18,40.7067,-74.0094
4/5/2014 0:18,40.7067,-74.0094
4/5/2014 0:18,40.7366,-73.9947
4/5/2014 0:18,40.6908,-73.9965
4/5/2014 0:18,40.6468,-73.7895
4/5/2014 0:18,40.7421,-73.9966
